รหัสสินค้า,ชื่อสินค้า,รหัสหน่วยนับ,ชื่อหน่วยนับ,ตัวตั้ง,ตัวหาร
10307969,"เกียงปาดปูนสแตนเลส 6"" ด้ามไม้ NASH",EA,ชิ้น,1,1
10307995,"เกียงปาดปูนเหล็ก 8"" ด้ามไม้ NASH",EA,ชิ้น,1,1
10308002,"เกียงปาดยาแนวด้ามไม้ 4"" NASH",ZWF,ชุด,1,1
10308013,แปรงลวดทองเหลือง 5แถว DT0524-31-1 NASH,EA,ชิ้น,1,1
10308014,แปรงลวดทองเหลือง 6แถว DT0524-31-2 NASH,EA,ชิ้น,1,1
10308015,แปรงลวดทองเหลือง 7แถว DT0524-31-3 NASH,EA,ชิ้น,1,1
10308336,ดินสอขีดไม้ 2 สี แบน NASH แพ็ค4,ZWG,แพค,1,1
10308400,ดินสอขีดไม้ 2สี กลม NASH แพ็ค4,ZWG,แพค,1,1
10308420,ที่สูบลมเท้าเหยียบเดี่ยว DT0526-362 NASH,EA,ชิ้น,1,1
10308428,"ใบเลื่อยเล็ก 6"" DT0524-15 10 ชิ้น NASH",ZWF,ชุด,1,1
10308430,"โครงเลื่อยเล็ก 6"" DT0523-276 NASH",EA,ชิ้น,1,1
10308432,"เลื่อยตัดฝ้า 7"" DT0522-203 NASH",EA,ชิ้น,1,1
10308455,ปักเต้าตีเส้น 15M DT0526-116 NASH,EA,ชิ้น,1,1
10308456,ชุดปักเต้าตีเส้น+ระดับน้ำ  15M NASH,ZWF,ชุด,1,1
10308506,"สายรัดเอนกประสงค์พร้อมตะขอ 1""*4.5ม.NASH",ZWF,ชุด,1,1
10308507,สายรัดเอนกประสงค์มีคันโยก 2''*10ม.  NASH,ZWF,ชุด,1,1
10308570,สายรัดของแบน 2.4มม. x1.2 ม. DT0527-65 NA,EA,ชิ้น,1,1
10308571,สายรัดมอไซ 10มิล x1.5 ม. DT0527-69 NASH,EA,ชิ้น,1,1
10308573,สายรัดมอไซ 10มิล x 2ม. DT0527-72แดง NASH,EA,ชิ้น,1,1
10308736,สกรูเกลียวแฉกแบน #4x5/8 NASH แพค.20,ZWF,ชุด,1,1
10310049,ผ้าใบซิลเวอร์โค้ท 3ม.*2หลา สีเขียว NASH,PUN,ผืน,1,1
10310050,ผ้าใบซิลเวอร์โค้ท 3ม.*4หลา สีเขียว NASH,PUN,ผืน,1,1
10311902,ตลับเมตร 3.5ม.x19มม. MCR025-19ST NASH,EA,ชิ้น,1,1
10312463,ตลับเมตร 5ม.x19มม. ABS055-19NC NASH,EA,ชิ้น,1,1
10312464,ตลับเมตร 7.5ม.x25มม. ABS057.5-25NC NASH,EA,ชิ้น,1,1
10312465,ตลับเมตร 3.5ม.x16มม. ABS043.5-16NC NASH,EA,ชิ้น,1,1
10312466,ตลับเมตร 5ม.x19มม. ABS045-19NC NASH,EA,ชิ้น,1,1
10312857,30*60A MR-W SATVARIOGREY ก.5,B,กล่อง,1,1
10312950,ผ้ายางปูบ่อ 4หลา X 40หลา หนา0.08 NASH,ROL,ม้วน,1,1
10312951,ผ้ายางปูบ่อ 4หลา X 45หลา หนา0.08 ดำ NASH,ROL,ม้วน,1,1
10313078,พลั่วหนีบดิน 1.48 ม.SP73310 ด้ามส้ม NASH,EA,ชิ้น,1,1
10313114,กรรไกรตัดกิ่ง + เลื่อยพับ P78-17A (ชุด),EA,ชิ้น,1,1
10313239,"ข้องอ45 PVC 8.5 1 1/2"" A+/THOR",EA,ชิ้น,1,1
10313240,"ข้องอ45 PVC 8.5 2"" A+/THOR",EA,ชิ้น,1,1
10313273,"ข้องอ90 PVC 8.5  3""   A+/THOR",EA,ชิ้น,1,1
10313274,"ข้องอ90 PVC 8.5  1 1/2""   A+/THOR",EA,ชิ้น,1,1
10313275,"ข้องอ90 PVC 8.5  2""   A+/THOR",EA,ชิ้น,1,1
10313280,"ข้อต่อเกลียวนอก PVC 13.5 3"" A+/THOR",EA,ชิ้น,1,1
10313293,"ข้อต่อเกลียวนอก PVC 13.5 1"" A+/THOR",EA,ชิ้น,1,1
10313294,"ข้อต่อเกลียวนอก PVC 13.5 1 1/2"" A+/THOR",EA,ชิ้น,1,1
10313295,"ข้อต่อเกลียวนอก PVC 13.5 2"" A+/THOR",EA,ชิ้น,1,1
10313297,"ข้อต่อเกลียวใน PVC 13.5 3"" A+/THOR",EA,ชิ้น,1,1
10313299,"ข้อต่อเกลียวใน PVC 13.5 2"" A+/THOR",EA,ชิ้น,1,1
10313302,"ข้อต่อตรงลด PVC 13.5 1""x1/2"" A+/THOR",EA,ชิ้น,1,1
10313314,"ข้อต่อตรงลด PVC 13.5 1 1/2""x1""  A+/THOR",EA,ชิ้น,1,1
10313316,"ข้อต่อตรงลด PVC 13.5 2""x1 1/2""  A+/THOR",EA,ชิ้น,1,1
10313318,"ข้อต่อตรงลด PVC 13.5 2""x1""   A+/THOR",EA,ชิ้น,1,1
10313321,"ข้อต่อตรงลด PVC 13.5 1 1/2""x3/4""A+/THOR",EA,ชิ้น,1,1
10313329,"ข้อต่อตรงลด PVC 13.5 2""x3/4""   A+/THOR",EA,ชิ้น,1,1
10313330,"ข้อต่อตรงลด PVC 13.5 2""x1/2""   A+/THOR",EA,ชิ้น,1,1
10313343,"ข้อต่อตรงลด PVC 13.5 4""x3""   A+/THOR",EA,ชิ้น,1,1
10313345,"นิเปิ้ล 3/4"" A+",EA,ชิ้น,1,1
10313347,"ปลั๊กอุดเกลียวนอก PVC 2"" A+/THOR",EA,ชิ้น,1,1
10313359,"สามทางลด PVC 13.5 3/4""x1/2"" A+/THOR",EA,ชิ้น,1,1
10313384,"ข้องอ90 PVC 13.5 1 1/2""   A+/THOR",EA,ชิ้น,1,1
10313390,"ข้อต่อตรง PVC 13.5 1 1/2"" A+/THOR",EA,ชิ้น,1,1
